JobTitle,Company,StartDate,EndDate,Duration,Location,Duration_months,JobType
Assistant Scientist,Argonne National Laboratory,March 2012,Present,2 years 9 months,Center for Nanoscale Materials,2.75,Scientist
Postdoctoral Associate,Argonne National Laboratory,February 2010,April 2012,2 years 3 months,Center for Nanoscale Materials &amp; Center for Electrical Energy Storage EFRC,2.25,Postdoc
Postdoctoral Associate,Massachusetts Institute of Technology,May 2009,February 2010,10 months,Department of Materials Science and Engineering,0.833333333333,Postdoc
Assistant Professor of Art History (Contemporary Art),Washington University in St. Louis,January 2013,Present,1 year 11 months,Greater St. Louis Area,1.91666666667,Academia
"Candidate, Class of 2015",Harvard Kennedy School of Government,March 2012,Present,2 years 9 months,"Cambridge, MA",2.75,Other
MPhil Candidate: Engineering for Sustainable Development (finishing August 2014),University of Cambridge,October 2013,Present,1 year 2 months,"Cambridge, United Kingdom",1.16666666667,Engineer
Portfolio Manager,Engineers Without Borders Canada,August 2012,October 2013,1 year 3 months,"Toronto, Ontario/ Oxford, UK",1.25,Manager
Co-Director - Malawi Water and Sanitation Program,Engineers Without Borders Canada,November 2009,October 2012,3 years,"Lilongwe, Malawi",3.0,Other
"African Program Staff, Water &amp; Sanitation Program Malawi",Engineers Without Borders Canada,November 2008,November 2009,1 year 1 month,"Chileka, Malawi",1.08333333333,Other
Research Engineer,Dolby Laboratories,May 2007,September 2008,1 year 5 months,"Vancouver, Canada",1.41666666667,Research
Engineering Development Group,The MathWorks,January 2013,Present,1 year 11 months,"Natick, MA",1.91666666667,Engineer
"Engineer, Projects - Midstream &amp; Marketing",Pembina Pipeline Corporation,April 2014,Present,8 months,"Calgary, Canada Area",0.666666666667,Engineer
"Project Engineer, Major Projects",Kinder Morgan,January 2012,April 2014,2 years 4 months,"Calgary, AB",2.33333333333,Engineer
"Field Operations Engineer, Engineering",Kinder Morgan,April 2010,December 2011,1 year 9 months,"Burnaby, BC",1.75,Engineer
"Integrity Engineer, Technical Services",Kinder Morgan,June 2008,March 2010,1 year 10 months,"Calgary, AB",1.83333333333,Engineer
Project Development Engineering Co-op,Talisman Energy,May 2007,August 2007,4 months,"Calgary, AB",0.333333333333,Engineer
Student Field Operator,Encana,May 2006,August 2006,4 months,"Three Hills, AB",0.333333333333,Student
Operations Engineering Co-op,Talisman Energy,September 2005,April 2006,8 months,"Warburg, AB",0.666666666667,Engineer
Visiting Researcher,UC Berkeley,September 2009,Present,5 years 3 months,"Innsbruck, Austria",5.25,Research
Degree Progress Specialist,Stanford University,November 2011,Present,3 years 1 month,Office of the University Registrar,3.08333333333,Other
Associate Registrar,Hult International Business School,January 2010,May 2010,5 months,Greater Boston Area,0.416666666667,Other
Assistant Registrar,Hult International Business School,June 2008,January 2010,1 year 8 months,Greater Boston Area,1.66666666667,Assistant
Software Development Intern,athenahealth,June 2013,September 2013,4 months,"Watertown, MA",0.333333333333,Intern
Software Development Intern,athenahealth,June 2012,September 2012,4 months,"Watertown, MA",0.333333333333,Intern
Associate,McKinsey &amp; Company,August 2014,Present,4 months,"New York, NY",0.333333333333,Other
Relationship Manager,edX,July 2014,Present,5 months,"Cambridge, MA",0.416666666667,Manager
Senior Program Manager,edX,May 2012,June 2014,2 years 2 months,"Cambridge, MA",2.16666666667,PM
Research Assistant,MIT,September 2007,May 2012,4 years 9 months,"Cambridge, MA",4.75,Research
Youth Counselor,The Church of Jesus Christ of Latter-day Saints,2007,2007,less than a year,Finland,-1.0,Other
GSX OpEx: Transportation Program Manager,Google Shopping Express,January 2014,Present,11 months,San Francisco Bay Area,0.916666666667,PM
Technical Product Manager,Pulse Energy,April 2011,September 2011,6 months,"Vancouver, BC",0.5,Manager
Systems Engineer -&gt; Professional Services Group Leader,Pulse Energy,October 2008,March 2011,2 years 6 months,"Vancouver, BC",2.5,Engineer
Fuel Cell Applications Systems Engineer,Plug Power Canada - Motive Power Division (previously General Hydrogen),May 2006,October 2008,2 years 6 months,"Richmond, BC",2.5,Engineer
Member of Technical Staff,"Twin Creeks Technologies, Inc",January 2011,December 2012,2 years,"San Jose, CA",2.0,Other
Intern,MIT Lincoln Laboratory,June 2008,December 2008,7 months,"Lexington, MA",0.583333333333,Intern
Senior Chemist,The Dow Chemical Company,September 2014,Present,3 months,"Midland, MI",0.25,Scientist
Adjunct Associate Research Scientist,Columbia University in the City of New York,September 2014,Present,3 months,Greater New York City Area,0.25,Research
Visiting Post-doctoral Researcher,University of Groningen,January 2014,August 2014,8 months,"Groningen, Netherlands",0.666666666667,Research
Post-doctoral Researcher,CNRS,February 2011,December 2013,2 years 11 months,"Laboratoire Kastler Brossel, Ecole Normale Superieure, Paris, France",2.91666666667,Research
Graduate Research Assistant,MIT,August 2004,January 2011,6 years 6 months,"Cambridge, MA",6.5,Research
Intellectual Property Administrator,Novadaq Technologies Inc.,February 2013,March 2014,1 year 2 months,"Vancouver, Canada Area",1.16666666667,Other
Law Graduate - LL.B. with Honours (Senior Status),University of Nottingham,September 2010,June 2012,1 year 10 months,"Nottingham, UK",1.83333333333,Other
Data Steward,McCarthy T&#xe9;trault,2012,2012,less than a year,"Vancouver, Canada Area",-1.0,Other
